symbol,fiscaldateending,reportedcurrency,totalrevenue,costofrevenue,costofgoodsandservicessold,grossprofit,sellinggeneralandadministrative,researchanddevelopment,operatingexpenses,operatingincome,interestexpense,depreciationandamortization,incomebeforetax,incometaxexpense,netincomefromcontinuingoperations,ebit,ebitda,netincome,sector_group,is_usd,year,quarter,quarter_label,gross_margin,operating_margin,net_margin,ebitda_margin,revenue_qoq,netincome_qoq,grossprofit_qoq,revenue_yoy_growth,income_yoy_growth,grossprofit_yoy_growth,revenue_rolling_mean_4q,revenue_rolling_std_4q,revenue_rolling_mean_8q,revenue_rolling_std_8q,revenue_rolling_max_4q,revenue_rolling_min_4q,income_rolling_mean_4q,income_rolling_std_4q,income_rolling_mean_8q,income_rolling_std_8q,income_rolling_max_4q,income_rolling_min_4q,net_margin_rolling_mean_4q,net_margin_rolling_std_4q,net_margin_rolling_mean_8q,net_margin_rolling_std_8q,net_margin_rolling_max_4q,net_margin_rolling_min_4q,gross_margin_rolling_mean_4q,gross_margin_rolling_std_4q,gross_margin_rolling_mean_8q,gross_margin_rolling_std_8q,gross_margin_rolling_max_4q,gross_margin_rolling_min_4q,revenue_qoq_rolling_mean_4q,revenue_qoq_rolling_std_4q,revenue_qoq_rolling_mean_8q,revenue_qoq_rolling_std_8q,revenue_qoq_rolling_max_4q,revenue_qoq_rolling_min_4q,revenue_momentum,earnings_momentum,revenue_growth_volatility_4q,income_growth_volatility_4q,totalrevenue_lag1,totalrevenue_lag2,totalrevenue_lag4,netincome_lag1,netincome_lag2,netincome_lag4,grossprofit_lag1,grossprofit_lag2,grossprofit_lag4,net_margin_lag1,net_margin_lag2,net_margin_lag4,gross_margin_lag1,gross_margin_lag2,gross_margin_lag4,operating_margin_lag1,operating_margin_lag2,operating_margin_lag4,revenue_qoq_lag1,revenue_qoq_lag2,revenue_qoq_lag4,netincome_qoq_lag1,netincome_qoq_lag2,netincome_qoq_lag4,next_quarter_net_income,profit_increase_next,log_totalrevenue,log_grossprofit,log_operatingincome,log_netincome,log_ebit,log_ebitda,log_costofrevenue,log_costofgoodsandservicessold,log_operatingexpenses,log_incomebeforetax,log_incometaxexpense,log_sellinggeneralandadministrative,log_researchanddevelopment,log_depreciationandamortization,log_totalrevenue_lag1,log_totalrevenue_lag2,log_totalrevenue_lag4,log_netincome_lag1,log_netincome_lag2,log_netincome_lag4,log_grossprofit_lag1,log_grossprofit_lag2,log_grossprofit_lag4
AAPL,2006-03-31,USD,4359000000.0,3062000000.0,3062000000.0,1297000000.0,592000000.0,176000000.0,768000000.0,529000000.0,76000000.0,50000000.0,605000000.0,195000000.0,0.0,529000000.0,579000000.0,410000000.0,Technology,1,2006,1,Q1,0.2975453085570085,0.12135810965817848,0.09405827024546914,0.13282863041982107,0.0025235145675613674,0.15121951219512195,0.02158828064764842,0.20761642578573067,0.8780487804878049,0.425597532767926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025235145675613674,-0.0029144274493592415,0.001784394263145681,0.002060811412718123,,,,,,,,,,,,,,,,,,,,,,,,,472000000.0,1.0,22.195508510432077,20.983319743051727,20.086498991712933,19.831667720101652,20.086498991712933,20.176813037264385,21.842334134508487,21.842334134508487,20.459300292414028,20.220739017648008,19.088510121656228,20.19901719453747,18.985994558684244,17.72753358339242,,,,,,,,,
AAPL,2006-06-30,USD,4370000000.0,3045000000.0,3045000000.0,1325000000.0,584000000.0,175000000.0,759000000.0,566000000.0,0.0,57000000.0,661000000.0,189000000.0,0.0,566000000.0,623000000.0,472000000.0,Technology,1,2006,2,Q2,0.30320366132723114,0.12951945080091534,0.1080091533180778,0.1425629290617849,0.0025235145675613674,0.15121951219512195,0.02158828064764842,0.20761642578573067,0.8780487804878049,0.425597532767926,,,,,4359000000.0,4359000000.0,,,,,410000000.0,410000000.0,,,,,0.09405827024546914,0.09405827024546914,,,,,0.2975453085570085,0.2975453085570085,,,,,,,-0.0025235145675613674,-0.0029144274493592415,0.001784394263145681,0.002060811412718123,4359000000.0,,,410000000.0,,,1297000000.0,,,0.09405827024546914,,,0.2975453085570085,,,0.12135810965817848,,,,,,,,,542000000.0,1.0,22.198028846282742,21.004678297139314,20.154104637934243,19.972489545668473,20.154104637934243,20.250057078356864,21.83676673843668,21.83676673843668,20.447512336677427,20.30926439932882,19.05725757831492,20.18541154250483,18.980296537602072,17.858561843342684,22.195508510432077,,,19.831667720101652,,,20.983319743051727,,
AAPL,2006-09-30,USD,4370000000.0,3425000000.0,3425000000.0,1412000000.0,584000000.0,179000000.0,804000000.0,608000000.0,252000000.0,66000000.0,721000000.0,179000000.0,0.0,661000000.0,718000000.0,542000000.0,Technology,1,2006,3,Q3,0.32311212814645307,0.1391304347826087,0.12402745995423341,0.1643020594965675,0.0,0.1483050847457627,0.06566037735849056,0.20761642578573067,0.8780487804878049,0.425597532767926,4364500000.0,7778174.593052023,,7778174.593052023,4370000000.0,4359000000.0,441000000.0,43840620.433565944,,43840620.433565944,472000000.0,410000000.0,0.10103371178177348,0.00986476402418219,,0.00986476402418219,0.1080091533180778,0.09405827024546914,0.3003744849421198,0.004001059614170116,,0.004001059614170116,0.30320366132723114,0.2975453085570085,,,,,0.0025235145675613674,0.0025235145675613674,-0.0025235145675613674,-0.0029144274493592415,0.001784394263145681,0.002060811412718123,4370000000.0,4359000000.0,,472000000.0,410000000.0,,1325000000.0,1297000000.0,,0.1080091533180778,0.09405827024546914,,0.30320366132723114,0.2975453085570085,,0.12951945080091534,0.12135810965817848,,0.0025235145675613674,,,0.15121951219512195,,,1004000000.0,1.0,22.198028846282742,21.068272976725677,20.225685441575177,20.11077656124894,20.30926439932882,20.391980128405255,21.95436730895257,21.95436730895257,20.50510982838702,20.396149696636186,19.00289636939162,20.18541154250483,19.00289636939162,18.005165315142214,22.198028846282742,22.195508510432077,,19.972489545668473,19.831667720101652,,21.004678297139314,20.983319743051727,
AAPL,2006-12-31,USD,7115000000.0,4895000000.0,4895000000.0,2220000000.0,714000000.0,184000000.0,898000000.0,1322000000.0,126000000.0,74000000.0,1448000000.0,444000000.0,0.0,1322000000.0,1396000000.0,1004000000.0,Technology,1,2006,4,Q4,0.3120168657765285,0.18580463808854533,0.14111033028812367,0.19620520028109628,0.6281464530892449,0.8523985239852399,0.5722379603399433,0.20761642578573067,0.8780487804878049,0.425597532767926,4366333333.333333,6350852.961085952,,6350852.961085952,4370000000.0,4359000000.0,474666666.6666667,66040391.68064748,,66040391.68064748,542000000.0,410000000.0,0.10869829450592679,0.014996475240287889,,0.014996475240287889,0.12402745995423341,0.09405827024546914,0.30795369934356426,0.013428987744698357,,0.013428987744698357,0.32311212814645307,0.2975453085570085,0.0012617572837806837,0.001784394263145681,,0.001784394263145681,0.0025235145675613674,0.0,0.6281464530892449,0.7040934392394771,0.001784394263145681,0.002060811412718123,4370000000.0,4370000000.0,,542000000.0,472000000.0,,1412000000.0,1325000000.0,,0.12402745995423341,0.1080091533180778,,0.32311212814645307,0.30320366132723114,,0.1391304347826087,0.12951945080091534,,0.0,0.0025235145675613674,,0.1483050847457627,0.15121951219512195,,770000000.0,0.0,22.685471068628775,21.52077303328105,21.002411579132335,20.727257859211964,21.002411579132335,21.056876842002925,22.311480113133175,22.311480113133175,20.61568062738006,21.093449131600543,19.91133512264875,20.38639352170442,19.030446321008043,18.119575664681957,22.198028846282742,22.198028846282742,,20.11077656124894,19.972489545668473,,21.068272976725677,21.004678297139314,
AAPL,2007-03-31,USD,5264000000.0,3415000000.0,3415000000.0,1849000000.0,680000000.0,183000000.0,863000000.0,986000000.0,148000000.0,69000000.0,1134000000.0,364000000.0,0.0,986000000.0,1055000000.0,770000000.0,Technology,1,2007,1,Q1,0.3512537993920973,0.18731003039513677,0.14627659574468085,0.20041793313069908,-0.2601546029515109,-0.23306772908366533,-0.1671171171171171,0.20761642578573067,0.8780487804878049,0.425597532767926,5053500000.0,1374343115.8193357,5053500000.0,1374343115.8193357,7115000000.0,4359000000.0,607000000.0,270103683.7956861,607000000.0,270103683.7956861,1004000000.0,410000000.0,0.116801303451476,0.02031168454301566,0.116801303451476,0.02031168454301566,0.14111033028812367,0.09405827024546914,0.3089694909518053,0.011151343936808585,0.3089694909518053,0.011151343936808585,0.32311212814645307,0.2975453085570085,0.21022332255226875,0.36193424721876344,,0.36193424721876344,0.6281464530892449,0.0,-0.8883010560407558,-1.0854662530689052,0.36193424721876344,0.4056698311932992,7115000000.0,4370000000.0,4359000000.0,1004000000.0,542000000.0,410000000.0,2220000000.0,1412000000.0,1297000000.0,0.14111033028812367,0.12402745995423341,0.09405827024546914,0.3120168657765285,0.32311212814645307,0.2975453085570085,0.18580463808854533,0.1391304347826087,0.12135810965817848,0.6281464530892449,0.0,,0.8523985239852399,0.1483050847457627,,818000000.0,1.0,22.384157031159397,21.33791078989223,20.709166913581107,20.461901074110706,20.709166913581107,20.77680660482231,21.95144333026199,21.95144333026199,20.57592525020645,20.849017043133806,19.71266442834827,20.337603357605015,19.024996716270177,18.049617077054286,22.685471068628775,22.198028846282742,22.195508510432077,20.727257859211964,20.11077656124894,19.831667720101652,21.52077303328105,21.068272976725677,20.983319743051727
AAPL,2007-06-30,USD,5410000000.0,3415000000.0,3415000000.0,1995000000.0,746000000.0,208000000.0,954000000.0,1041000000.0,155000000.0,81000000.0,1196000000.0,378000000.0,0.0,1041000000.0,1122000000.0,818000000.0,Technology,1,2007,2,Q2,0.3687615526802218,0.1924214417744917,0.15120147874306838,0.20739371534195933,0.027735562310030396,0.06233766233766234,0.07896160086533262,0.2379862700228833,0.7330508474576272,0.5056603773584906,5279750000.0,1294048009.1557655,5095600000.0,1193933122.0801272,7115000000.0,4370000000.0,697000000.0,240989626.33275315,639600000.0,245011836.4487724,1004000000.0,472000000.0,0.12985588482627894,0.01739303024968975,0.12269636191011697,0.021981400498721826,0.14627659574468085,0.1080091533180778,0.3223966136605775,0.020891447330821353,0.3174263526398637,0.021233391197651344,0.3512537993920973,0.30320366132723114,0.09262884117632385,0.3776834402955979,0.09262884117632385,0.3776834402955979,0.6281464530892449,-0.2601546029515109,0.28789016526154126,0.29540539142132766,0.3776834402955979,0.45265577108251587,5264000000.0,7115000000.0,4370000000.0,770000000.0,1004000000.0,472000000.0,1849000000.0,2220000000.0,1325000000.0,0.14627659574468085,0.14111033028812367,0.1080091533180778,0.3512537993920973,0.3120168657765285,0.30320366132723114,0.18731003039513677,0.18580463808854533,0.12951945080091534,-0.2601546029515109,0.6281464530892449,0.0025235145675613674,-0.23306772908366533,0.8523985239852399,0.15121951219512195,904000000.0,1.0,22.411514929989643,21.41390988778949,20.763447627539858,20.522372895789516,20.763447627539858,20.83837864493818,21.95144333026199,21.95144333026199,20.676174230460777,20.90224849331097,19.750404756229365,20.430236159508517,19.153048642473284,18.20995972498239,22.384157031159397,22.685471068628775,22.198028846282742,20.461901074110706,20.727257859211964,19.972489545668473,21.33791078989223,21.52077303328105,21.004678297139314
AAPL,2007-09-30,USD,6217000000.0,4127000000.0,4127000000.0,2090000000.0,823000000.0,207000000.0,1030000000.0,1060000000.0,170000000.0,93000000.0,1230000000.0,326000000.0,0.0,1060000000.0,1153000000.0,904000000.0,Technology,1,2007,3,Q3,0.3361750040212321,0.17050024127392632,0.14540775293549943,0.18545922470645004,0.14916820702402958,0.10513447432762836,0.047619047619047616,0.4226544622425629,0.6678966789667896,0.4801699716713881,5539750000.0,1146385733.512067,5148000000.0,1075572219.7974436,7115000000.0,4370000000.0,783500000.0,190013157.43916258,669333333.3333334,230930869.88678378,1004000000.0,542000000.0,0.14065396618252657,0.011825297205064887,0.12744721471560888,0.022846645018139274,0.15120147874306838,0.12402745995423341,0.33878608649882513,0.02592448383344748,0.3259822193132567,0.028282550249213067,0.3687615526802218,0.3120168657765285,0.0989318531119411,0.3758845563651425,0.07965018540306515,0.3283684109861096,0.6281464530892449,-0.2601546029515109,0.12143264471399919,0.04279681198996602,0.3758845563651425,0.45991672153438934,5410000000.0,5264000000.0,4370000000.0,818000000.0,770000000.0,542000000.0,1995000000.0,1849000000.0,1412000000.0,0.15120147874306838,0.14627659574468085,0.12402745995423341,0.3687615526802218,0.3512537993920973,0.32311212814645307,0.1924214417744917,0.18731003039513677,0.1391304347826087,0.027735562310030396,-0.2601546029515109,0.0,0.06233766233766234,-0.23306772908366533,0.1483050847457627,1581000000.0,1.0,22.55055331239446,21.4604299034016,20.781534746013783,20.622339919462647,20.781534746013783,20.865633079100636,22.14081658795916,22.14081658795916,20.752824640158828,20.930280007143747,19.602407942398468,20.52846675985641,19.14822935606056,18.34811006187022,22.411514929989643,22.384157031159397,22.198028846282742,20.522372895789516,20.461901074110706,20.11077656124894,21.41390988778949,21.33791078989223,21.068272976725677
AAPL,2007-12-31,USD,9608000000.0,6276000000.0,6276000000.0,3332000000.0,960000000.0,246000000.0,1206000000.0,2126000000.0,200000000.0,106000000.0,2326000000.0,745000000.0,0.0,2126000000.0,2232000000.0,1581000000.0,Technology,1,2007,4,Q4,0.34679433805162363,0.22127393838467943,0.1645503746877602,0.23230641132389676,0.5454399227923435,0.7488938053097345,0.5942583732057416,0.35038650737877725,0.5747011952191236,0.5009009009009009,6001500000.0,852467203.6702254,5300714285.714286,1061742861.8841311,7115000000.0,5264000000.0,874000000.0,102878569.19689344,702857142.8571428,228709006.2149051,1004000000.0,770000000.0,0.1459990394278431,0.004138901186966654,0.13001300588987896,0.02193301881343421,0.15120147874306838,0.14111033028812367,0.3420518054675199,0.02404663306878924,0.3274383314143961,0.026104163990769293,0.3687615526802218,0.3120168657765285,0.1362239048679485,0.37015356738295657,0.09123652233989256,0.29506966955028807,0.6281464530892449,-0.2601546029515109,0.396271715768314,0.6437593309821061,0.37015356738295657,0.46226916350749236,6217000000.0,5410000000.0,7115000000.0,904000000.0,818000000.0,1004000000.0,2090000000.0,1995000000.0,2220000000.0,0.14540775293549943,0.15120147874306838,0.14111033028812367,0.3361750040212321,0.3687615526802218,0.3120168657765285,0.17050024127392632,0.1924214417744917,0.18580463808854533,0.14916820702402958,0.027735562310030396,0.6281464530892449,0.10513447432762836,0.06233766233766234,0.8523985239852399,1045000000.0,0.0,22.985861921828175,21.92683856155113,21.477508117336534,21.181323395806256,21.477508117336534,21.526163881913504,22.559998671976533,22.559998671976533,20.910574936080593,21.567415891472805,20.428894777686114,20.682443843467823,19.320842097961677,18.478949661510303,22.55055331239446,22.411514929989643,22.685471068628775,20.622339919462647,20.522372895789516,20.727257859211964,21.4604299034016,21.41390988778949,21.52077303328105
AAPL,2008-03-31,USD,7512000000.0,5038000000.0,5038000000.0,2474000000.0,886000000.0,273000000.0,1159000000.0,1315000000.0,162000000.0,116000000.0,1477000000.0,432000000.0,0.0,1315000000.0,1431000000.0,1045000000.0,Technology,1,2008,1,Q1,0.3293397231096912,0.17505324813631523,0.13911075612353568,0.19049520766773162,-0.21815154038301415,-0.3390259329538267,-0.2575030012004802,0.4270516717325228,0.35714285714285715,0.3380205516495403,6624750000.0,2032510660.078646,5839125000.0,1812551826.8452353,9608000000.0,5264000000.0,1018250000.0,379239919.6638807,812625000.0,375801975.77979815,1581000000.0,770000000.0,0.15185905052775223,0.00883714040504161,0.1343301769896141,0.023694695002011705,0.1645503746877602,0.14540775293549943,0.35074617353629367,0.013573841932721169,0.3298578322440495,0.025117971326080756,0.3687615526802218,0.3361750040212321,0.11554727229372316,0.33406628767252866,0.15612272240452843,0.3194160676696762,0.5454399227923435,-0.2601546029515109,-0.7635914631753578,-1.0879197382635613,0.33406628767252866,0.413673634593847,9608000000.0,6217000000.0,5264000000.0,1581000000.0,904000000.0,770000000.0,3332000000.0,2090000000.0,1849000000.0,0.1645503746877602,0.14540775293549943,0.14627659574468085,0.34679433805162363,0.3361750040212321,0.3512537993920973,0.22127393838467943,0.17050024127392632,0.18731003039513677,0.5454399227923435,0.14916820702402958,-0.2601546029515109,0.7488938053097345,0.10513447432762836,-0.23306772908366533,1072000000.0,1.0,22.739767578985493,21.62910211132091,20.997102503336595,20.767282723320122,20.997102503336595,21.08163933821954,22.34027501507532,22.34027501507532,20.870823402166838,21.1132788411727,19.883936148523198,20.60222750969802,19.424982356812237,18.569100757691327,22.985861921828175,22.55055331239446,22.384157031159397,21.181323395806256,20.622339919462647,20.461901074110706,21.92683856155113,21.4604299034016,21.33791078989223
AAPL,2008-06-30,USD,7464000000.0,4864000000.0,4864000000.0,2600000000.0,916000000.0,292000000.0,1208000000.0,1392000000.0,118000000.0,117000000.0,1510000000.0,438000000.0,0.0,1392000000.0,1509000000.0,1072000000.0,Technology,1,2008,2,Q2,0.3483386923901393,0.1864951768488746,0.14362272240085744,0.20217041800643087,-0.006389776357827476,0.02583732057416268,0.05092966855295069,0.3796672828096118,0.3105134474327628,0.3032581453634085,7186750000.0,1831710926.0652094,6233250000.0,1787355328.8108585,9608000000.0,5410000000.0,1087000000.0,342369196.43371344,892000000.0,344358202.20893735,1581000000.0,818000000.0,0.1500675906224659,0.010844400184085886,0.13996173772437243,0.01722697905794825,0.1645503746877602,0.13911075612353568,0.3452676544656922,0.01723048950236021,0.33383213406313483,0.021534676471816814,0.3687615526802218,0.3293397231096912,0.12604803793584735,0.31862349143396484,0.1093384395560856,0.3239776924695739,0.5454399227923435,-0.21815154038301415,0.21176176402518668,0.3648632535279894,0.31862349143396484,0.4499590296831586,7512000000.0,9608000000.0,5410000000.0,1045000000.0,1581000000.0,818000000.0,2474000000.0,3332000000.0,1995000000.0,0.13911075612353568,0.1645503746877602,0.15120147874306838,0.3293397231096912,0.34679433805162363,0.3687615526802218,0.17505324813631523,0.22127393838467943,0.1924214417744917,-0.21815154038301415,0.5454399227923435,0.027735562310030396,-0.3390259329538267,0.7488938053097345,0.06233766233766234,1136000000.0,1.0,22.733357300625432,21.678777282358464,21.05400739957703,20.792791900527856,21.05400739957703,21.134713017394812,22.30512698181587,22.30512698181587,20.912231937286847,21.135375488435496,19.897729470623826,20.635526923730108,19.492264363657213,18.57768450130904,22.739767578985493,22.985861921828175,22.411514929989643,20.767282723320122,21.181323395806256,20.522372895789516,21.62910211132091,21.92683856155113,21.41390988778949
